Parameter,DataType,Access,FactoryDefault,SourceFile
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SupportedLanguages,string,readWrite,,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TR069support.Enable,boolean,readWrite,false,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TR069support.Enable,boolean,readWrite,false,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TRM.EnableMTLS,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TRMQtSecurePort.Enable,boolean,readWrite,true,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TRMXPKI.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Telemetry.FTUEReport.Enable,boolean,readWrite,false,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ThreadMonitorMinidump.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ThreadPrioConfig.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ThunderTestClient.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ThunderTestClient.ServerURL,string,readWrite,wss://thunderstrikes.stb.r53.xcal.tv:8443,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TvSettings.DynamicAutoLatency,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.UploadLogsOnUnscheduledReboot.Disable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.VideoTelemetry.FrequncyMinutes,unsignedInt,readWrite,15,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFiReset.ReassociateTolerance,unsignedInt,readWrite,20,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WifiOptimizer.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.collectd.PortNumber,unsignedInt,readWrite,2003,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.fkpskdf.Enable,boolean,readWrite,true,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.memcapture.Duration,int,readWrite,30,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.memcapture.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.xMemInsight.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Identity.DbgServices.Enable,boolean,readWrite,false,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Identity.DeviceType,string,readWrite,PROD,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TextToSpeech.URL,string,readWrite,,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.apps.watchdogmode,boolean,readWrite,,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.xre-receiver.SSLWritePacketMaxLength,unsignedInt,readWrite,32768,data-model-generic.xml
Device.DeviceInfo.X_RDK_RDKProfileName,string,readWrite,RDKV,data-model-generic.xml
Device.Ethernet.Link.{i}.Enable,boolean,readWrite,0,data-model-generic.xml
Device.Ethernet.Link.{i}.LowerLayers,string,readWrite,,data-model-generic.xml
Device.Ethernet.Link.{i}.Status,string,readOnly,Down,data-model-generic.xml
Device.IP.Diagnostics.DownloadDiagnostics.DiagnosticsState,string,readWrite,None,data-model-generic.xml
