Parameter,bsUpdate,FactoryDefault,DataType,Access,SourceFile
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.PeriodicFwCheck.timeperiod,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.PingTelemetry.BurstCnt,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.PingTelemetry.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.PingTelemetry.EndTime,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.PingTelemetry.StartTime,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.PingTelemetry.Type,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Power.DeepSleepNotification.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Power.PwrMgr2.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Power.UserInactivityNotification.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Power.UserInactivityNotification.TimeMinutes,,15,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Preference.URL,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.PressAndRelease.EOSMethod,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.PressAndRelease.EOSTimeout,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ProtectX1Services.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RDKBROWSER2_CFG.BACKGROUND_MEM_USAGE_HIGH_WATERMARK,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RDKBROWSER2_CFG.BACKGROUND_MEM_USAGE_LOW_WATERMARK,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RDKBROWSER2_CFG.HTML_APP_RESURRECTION_PERIOD.days,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RDKRemoteDebugger.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RDKRemoteDebugger.IssueType,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RDKRemoteDebugger.WebCfgData,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RDMDecoupledVersionManagement.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RF4CE.AudioProfileTarget,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RF4CE.FF.RspIdle,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RF4CE.HostPacketDecryption.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RF4CE.OpusEncoderParams,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RF4CE.RspTime.XDIU,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RF4CE.RspTime.XRC,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RF4CE.RspTime.XVP,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RF4CE.VoiceEncryption.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RebootStop.Detection,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RebootStop.Duration,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RebootStop.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RedRecovery.Status,,DISABLED,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Resourcemanager.Blacklist.Enable,,TRUE,boolean,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Resourcemanager.Blacklist.Enable,,TRUE,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Resourcemanager.ReserveTTS.Enable,,TRUE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RoamTrigger,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.RoamTrigger,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SDCARD_SCRATCHPAD.Enable,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SHORTS.Enable,,TRUE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.STAGE.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SWDLDirect.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SWDLSpLimit.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SWDLSpLimit.LowSpeed,,12800,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SWDLSpLimit.TopSpeed,,1280000,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ScreenCapture.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ScreenCapture.URL,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SecDump.Enable,,TRUE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SoundPlayer.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.StandbyReboot.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.StandbyReboot.ForceAutoReboot,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.StandbyReboot.StandbyAutoReboot,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.StopMaintenance.Enable,,TRUE,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.StorageManager.maxAdaptiveBitRate,,18,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.StorageManager.maxTSBDurationMinutes,,0,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.SupportedLanguages,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TR069support.Enable,,FALSE,boolean,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TR069support.Enable,,FALSE,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Telemetry.ConfigURL,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Telemetry.FTUEReport.Enable,,FALSE,boolean,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Telemetry.Version,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TelemetryEndpoint.RedTmURL,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ThreadMonitorMinidump.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ThreadPrioConfig.Enable,allUpdate,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ThunderSecurity.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.TvSettings.DynamicAutoLatency,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.UNII3.Enable,allUpdate,,boolean,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.UPnP.Refactor.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.UPnPxPKI.Enable,,,boolean,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.USB_AutoMount.Enable,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.USB_HID.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.UhdEnable.Enable,,,boolean,writeOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.UploadLogsOnUnscheduledReboot.Disable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.VideoTelemetry.FrequncyMinutes,,15,unsignedInt,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ViperPPUrl,,,string,readWrite,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ViperPPUrl,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Voice.AudioConfidenceThreshold,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Voice.AudioDuckingLevel,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Voice.AudioDuckingType,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Voice.AudioMode,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Voice.AudioTiming,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Voice.KeywordSensitivity,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.Voice.VSDKConfiguration,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFi.WiFiStatsLogInterval,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFiReset.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFiReset.EthernetLoggingInterval,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFiReset.PacketLossLoggingInterval,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFiReset.ReassociateTolerance,,20,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFiReset.WifiLoggingInterval,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFiReset.WifiReassociateInterval,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFiReset.WifiResetIntervalForDriverIssue,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WiFiReset.WifiResetIntervalForPacketLoss,,,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.WifiOptimizer.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XDial.AppList,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRDsp.XR19.Configuration,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPairing.ASBDerivationMethod,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPairing.ASBEnable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPairing.ASBFailThreshold,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPollingConfiguration.Default,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPollingConfiguration.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPollingConfiguration.XR11v2,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPollingConfiguration.XR15v1,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPollingConfiguration.XR15v2,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPollingConfiguration.XR16v1,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPollingConfiguration.XR19v1,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRPollingConfiguration.XRAv1,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRmacPolling.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.XRmacPolling.macPollingInterval,,,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.collectd.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.collectd.GraphiteURL,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.collectd.Hostname,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.collectd.PortNumber,,2003,unsignedInt,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.device_update,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.global,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.network_ble,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.network_ip,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.network_rf4ce,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.telemetry_report.ble,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.telemetry_report.global,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.telemetry_report.ip,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.telemetry_report.rf4ce,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.telemetry_report.voice,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.voice,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.ctrlm.vsdk,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.eMMCFirmware.Version,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.eMMCMitigation.Disable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.fkpskdf.Enable,,TRUE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.hwHealthTest.Enable,,,boolean,writeOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.hwHealthTest.EnablePeriodicRun,,,boolean,writeOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.hwHealthTest.PeriodicRunFrequency,,,unsignedInt,writeOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.hwHealthTest.ResultFilter.Enable,,,boolean,writeOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.hwHealthTest.ResultFilter.FilterParams,,,string,writeOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.hwHealthTest.ResultFilter.QueueDepth,,,unsignedInt,writeOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.hwHealthTest.ResultFilter.ResultsFiltered,,,boolean,writeOnly,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.hwHealthTest.cpuThreshold,,,unsignedInt,writeOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.hwHealthTest.dramThreshold,,,unsignedInt,writeOnly,data-model-stb.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.memcapture.Duration,,30,int,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.memcapture.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.meminsight.Args,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.meminsight.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.meminsight.Trigger,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.processmonitor.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.systemd-analyze.Enable,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.HostIf.ParodusTokenServerUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Identity.DbgServices.Enable,,FALSE,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Identity.DeviceType,,PROD,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.DcaUploadPRODUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.DcaUploadUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.DcmLogServerCQAUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.DcmLogServerDEVUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.DcmLogServerPRODUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.DcmLogUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.DcmScpServerUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.LogServerUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.S3SignedBucketUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.LogUpload.SsrUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SecManager.dieselUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SocProvisioning.Activation,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SocProvisioning.AuthMessage,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SocProvisioning.NameSpacePrefix,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SocProvisioning.NameSpaceUri,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SocProvisioning.Renewal,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SocProvisioning.URL1,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SocProvisioning.URL2,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SocProvisioning.backoffIntervalMax,,,unsignedLong,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SocProvisioning.disableCredentialsPrefetchCaching,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.CCRProxyUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.CDNCCPUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.CcpUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.DAC15CDLUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.EDGEDNSProxyUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.FkpsBrokerUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.FkpsUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.PRODCDLUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.XcalUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.XconfDEVUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Sysint.XconfUrl,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.SystemServices.FriendlyName,allUpdate,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TextToSpeech.URL,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.AspectRatio,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.AutoBacklightMode,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.Backlight,,,int,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.Boost,,,int,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.Brightness,,,int,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.ColorTemperature,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.Contrast,,,int,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.DolbyVisionMode,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.DynamicContrastModeString,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.Hue,,,int,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.PictureMode,,,int,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.PictureModeString,,,string,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.Saturation,,,int,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.TvSettings.Sharpness,,,int,readWrite,data-model-tv.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.LRHAcceptValue,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.LRHContentType,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.SchemeIdUriDaiStream,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.SchemeIdUriVssStream,,,string,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.SlowMotion,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.asyncTune,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.cdvrLiveOffset,,,unsignedLong,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.client-dai,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.curlStore,,,boolean,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.defaultBitrate,,,unsignedLong,readWrite,data-model-generic.xml
Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.aamp.defaultBitrate4K,,,unsignedLong,readWrite,data-model-generic.xml
